activity_date,machine_id,location_id,manufacturer,game_title,game_category,software_version,transaction_count,session_count,unique_player_count,total_wager,total_payout,jackpot_amount,net_gaming_revenue,actual_hold_pct,event_count,downtime_minutes,critical_event_count,investigation_count,active_minutes,availability_pct,revenue_per_active_hour,revenue_z_score,wager_z_score,downtime_z_score,rule_based_anomaly_flag
2025-01-01,MCH000006,LOC0002,IGT,Game 050,Reel Slots,v4.1,9,1,1,40.86,36.66,0.0,4.2,0.1028,0,0,0,0,1440,1.0,0.18,-0.0441,-0.2255,-0.2294,0
2025-01-01,MCH000007,LOC0002,Konami,Game 030,Video Poker,v5.0,3,1,1,86.32,83.53,0.0,2.79,0.0323,0,0,0,0,1440,1.0,0.12,-0.2769,0.3922,-0.2294,0
2025-01-01,MCH000012,LOC0008,Konami,Game 010,Reel Slots,v4.2,2,1,1,4.19,3.61,0.0,0.58,0.1384,0,0,0,0,1440,1.0,0.02,-0.6418,-0.7237,-0.2294,0
2025-01-01,MCH000013,LOC0009,Everi,Game 048,Video Poker,v5.1,1,1,1,45.84,43.35,0.0,2.49,0.0543,0,0,0,0,1440,1.0,0.1,-0.3264,-0.1578,-0.2294,0
2025-01-01,MCH000024,LOC0007,Light & Wonder,Game 034,Reel Slots,v4.1,4,1,1,89.8,78.11,0.0,11.69,0.1302,0,0,0,0,1440,1.0,0.49,1.1928,0.4395,-0.2294,0
2025-01-01,MCH000027,LOC0002,Everi,Game 018,Video Poker,v5.1,1,1,1,17.91,15.92,0.0,1.99,0.1111,0,0,0,0,1440,1.0,0.08,-0.409,-0.5373,-0.2294,0
2025-01-01,MCH000028,LOC0003,Everi,Game 016,Reel Slots,v5.1,4,1,1,287.32,280.07,0.0,7.25,0.0252,0,0,0,0,1440,1.0,0.3,0.4596,3.1231,-0.2294,1
2025-01-01,MCH000031,LOC0002,Aristocrat,Game 013,Video Poker,v5.1,2,1,1,19.78,17.71,0.0,2.07,0.1047,0,0,0,0,1440,1.0,0.09,-0.3958,-0.5119,-0.2294,0
2025-01-01,MCH000035,LOC0001,Aristocrat,Game 001,Reel Slots,v5.0,1,1,1,7.61,6.93,0.0,0.68,0.0894,0,0,0,0,1440,1.0,0.03,-0.6253,-0.6772,-0.2294,0
2025-01-01,MCH000038,LOC0001,IGT,Game 033,Video Poker,v4.2,1,1,1,11.19,10.75,0.0,0.44,0.0393,0,0,0,0,1440,1.0,0.02,-0.665,-0.6286,-0.2294,0
2025-01-01,MCH000043,LOC0010,Everi,Game 005,Video Poker,v4.2,1,1,1,6.13,6.03,0.0,0.1,0.0163,0,0,0,0,1440,1.0,0.0,-0.7211,-0.6973,-0.2294,0
2025-01-01,MCH000049,LOC0006,Aristocrat,Game 011,Video Poker,v5.1,1,1,1,11.75,11.03,0.0,0.72,0.0613,3,54,0,0,1386,0.9625,0.03,-0.6187,-0.621,4.1295,1
2025-01-01,MCH000068,LOC0004,Aristocrat,Game 003,Video Slots,v5.1,6,1,1,199.32,173.73,0.0,25.59,0.1284,0,0,0,0,1440,1.0,1.07,3.4881,1.9275,-0.2294,1
2025-01-01,MCH000071,LOC0002,Konami,Game 012,Video Poker,v5.1,3,1,1,83.65,79.43,0.0,4.22,0.0504,0,0,0,0,1440,1.0,0.18,-0.0408,0.3559,-0.2294,0
2025-01-01,MCH000078,LOC0006,Everi,Game 027,Video Slots,v4.2,3,1,1,90.43,81.43,0.0,9.0,0.0995,0,0,0,0,1440,1.0,0.38,0.7486,0.448,-0.2294,0
2025-01-01,MCH000079,LOC0007,Everi,Game 049,Video Poker,v5.1,1,1,1,8.69,8.42,0.0,0.27,0.0311,0,0,0,0,1440,1.0,0.01,-0.693,-0.6626,-0.2294,0
2025-01-01,MCH000083,LOC0010,Everi,Game 006,Video Poker,v5.1,2,1,1,36.65,35.04,0.0,1.61,0.0439,0,0,0,0,1440,1.0,0.07,-0.4718,-0.2827,-0.2294,0
2025-01-01,MCH000087,LOC0001,IGT,Game 013,Video Slots,v4.2,7,1,1,21.64,19.3,0.0,2.34,0.1081,0,0,0,0,1440,1.0,0.1,-0.3512,-0.4866,-0.2294,0
2025-01-01,MCH000094,LOC0008,Aristocrat,Game 012,Video Poker,v5.0,4,1,1,22.55,15.71,0.0,6.84,0.3033,0,0,0,0,1440,1.0,0.29,0.3919,-0.4742,-0.2294,0
2025-01-02,MCH000013,LOC0009,Everi,Game 048,Video Poker,v5.1,2,1,1,16.51,15.87,0.0,0.64,0.0388,0,0,0,0,1440,1.0,0.03,-0.7036,-0.5403,-0.1857,0
2025-01-02,MCH000014,LOC0007,Light & Wonder,Game 009,Video Poker,v5.1,4,2,2,34.7,31.11,0.0,3.59,0.1035,0,0,0,0,1440,1.0,0.15,-0.0971,-0.329,-0.1857,0
2025-01-02,MCH000017,LOC0002,Everi,Game 050,Video Poker,v5.0,2,1,1,45.44,41.53,0.0,3.91,0.086,0,0,0,0,1440,1.0,0.16,-0.0313,-0.2042,-0.1857,0
2025-01-02,MCH000019,LOC0003,Everi,Game 041,Reel Slots,v4.2,3,1,1,214.21,198.86,0.0,15.35,0.0717,0,0,0,0,1440,1.0,0.64,2.321,1.7561,-0.1857,0
2025-01-02,MCH000024,LOC0007,Light & Wonder,Game 034,Reel Slots,v4.1,2,1,1,81.9,75.22,0.0,6.68,0.0816,0,0,0,0,1440,1.0,0.28,0.5383,0.2193,-0.1857,0
2025-01-02,MCH000028,LOC0003,Everi,Game 016,Reel Slots,v5.1,1,1,1,53.67,50.77,0.0,2.9,0.054,0,0,0,0,1440,1.0,0.12,-0.2389,-0.1086,-0.1857,0
