player_id,loyalty_tier,age_band,home_region,marketing_opt_in,registered_active_flag,observation_cutoff_date,dataset_end_date,first_session_date,latest_historical_session_date,days_since_last_session,observed_player_lifetime_days,total_historical_sessions,sessions_last_30_days,sessions_last_90_days,locations_visited,machines_played,total_session_minutes,average_session_minutes,total_rounds,total_wager,total_payout,player_net_revenue,average_wager_per_session,wager_last_30_days,wager_last_90_days,revenue_last_30_days,revenue_last_90_days,sessions_per_observed_day,future_session_count,churn_flag
PLY00000001,Standard,30-39,Midwest,1,1,2025-11-01,2025-12-31,2025-07-21,2025-10-20,12,104,6,1,4,5,6,198,33.0,302,886.32,818.67,67.65,147.72,68.39,326.58,6.39,31.87,0.0577,2,0
PLY00000002,Silver,40-49,Southwest,0,1,2025-11-01,2025-12-31,2025-01-10,2025-04-05,210,296,6,0,0,5,6,151,25.166666,218,635.76,585.71,50.05,105.96,0.0,0.0,0.0,0.0,0.0203,0,1
PLY00000003,Standard,50-59,Midwest,1,1,2025-11-01,2025-12-31,2025-07-21,2025-07-21,103,104,1,0,0,1,1,19,19.0,22,40.93,38.89,2.04,40.93,0.0,0.0,0.0,0.0,0.0096,3,0
PLY00000005,Silver,30-39,Southeast,0,1,2025-11-01,2025-12-31,2025-02-04,2025-05-03,182,271,4,0,0,3,4,45,11.25,64,353.92,312.97,40.95,88.48,0.0,0.0,0.0,0.0,0.0148,0,1
PLY00000006,Silver,60+,West,1,1,2025-11-01,2025-12-31,2025-07-25,2025-09-04,58,100,2,0,1,2,2,119,59.5,186,927.48,864.68,62.8,463.74,0.0,335.28,0.0,35.66,0.02,2,0
PLY00000007,Standard,30-39,Midwest,1,1,2025-11-01,2025-12-31,2025-02-19,2025-04-08,207,256,2,0,0,2,2,49,24.5,65,123.03,115.36,7.67,61.515,0.0,0.0,0.0,0.0,0.0078,0,1
PLY00000008,Standard,40-49,Northeast,0,1,2025-11-01,2025-12-31,2025-06-30,2025-10-06,26,125,3,1,2,3,3,58,19.333333,59,284.76,260.22,24.54,94.92,82.99,137.1,6.46,10.56,0.024,1,0
PLY00000009,Silver,30-39,Southwest,1,1,2025-11-01,2025-12-31,2025-01-07,2025-08-09,84,299,5,0,1,3,5,98,19.6,136,584.36,509.22,75.14,116.872,0.0,96.58,0.0,12.59,0.0167,0,1
PLY00000011,Standard,50-59,Northeast,0,1,2025-11-01,2025-12-31,2025-03-25,2025-08-09,84,222,3,0,2,3,3,80,26.666666,111,267.19,236.88,30.31,89.063333,0.0,203.91,0.0,19.23,0.0135,2,0
PLY00000012,Standard,21-29,Southeast,1,1,2025-11-01,2025-12-31,2025-02-02,2025-02-02,272,273,1,0,0,1,1,64,64.0,113,386.76,372.38,14.38,386.76,0.0,0.0,0.0,0.0,0.0037,0,1
PLY00000013,Standard,30-39,Northeast,1,1,2025-11-01,2025-12-31,2025-08-07,2025-08-23,70,87,2,0,2,2,2,71,35.5,90,169.18,162.73,6.45,84.59,0.0,169.18,0.0,6.45,0.023,3,0
PLY00000014,Silver,60+,Southeast,0,1,2025-11-01,2025-12-31,2025-01-08,2025-05-03,182,298,4,0,0,4,4,53,13.25,60,270.4,243.64,26.76,67.6,0.0,0.0,0.0,0.0,0.0134,0,1
PLY00000015,Gold,40-49,West,0,1,2025-11-01,2025-12-31,2025-08-15,2025-10-04,28,79,2,1,2,2,2,42,21.0,76,365.69,335.88,29.81,182.845,182.12,365.69,10.37,29.81,0.0253,3,0
PLY00000016,Silver,60+,Northeast,0,1,2025-11-01,2025-12-31,2025-08-12,2025-08-12,81,82,1,0,1,1,1,5,5.0,5,6.54,5.65,0.89,6.54,0.0,6.54,0.0,0.89,0.0122,1,0
PLY00000017,Standard,21-29,Southeast,1,1,2025-11-01,2025-12-31,2025-01-08,2025-02-14,260,298,3,0,0,3,3,28,9.333333,32,51.44,46.17,5.27,17.146666,0.0,0.0,0.0,0.0,0.0101,0,1
PLY00000018,Standard,50-59,Southwest,1,1,2025-11-01,2025-12-31,2025-02-03,2025-05-30,155,272,3,0,0,3,3,56,18.666666,68,221.59,192.95,28.64,73.863333,0.0,0.0,0.0,0.0,0.011,0,1
PLY00000019,Standard,40-49,Midwest,1,1,2025-11-01,2025-12-31,2025-01-24,2025-03-29,217,282,2,0,0,2,2,12,6.0,13,54.27,49.8,4.47,27.135,0.0,0.0,0.0,0.0,0.0071,0,1
PLY00000020,Silver,40-49,West,1,1,2025-11-01,2025-12-31,2025-05-19,2025-07-06,118,167,2,0,0,1,2,30,15.0,44,330.62,301.32,29.3,165.31,0.0,0.0,0.0,0.0,0.012,0,1
PLY00000021,Standard,60+,Southeast,1,1,2025-11-01,2025-12-31,2025-06-22,2025-09-21,41,133,4,0,2,3,4,85,21.25,107,341.6,310.09,31.51,85.4,0.0,37.95,0.0,4.7,0.0301,1,0
