player_id,loyalty_tier,age_band,home_region,marketing_opt_in,session_count,locations_visited,machines_played,total_session_minutes,total_rounds,total_wager,player_net_revenue,average_session_minutes,average_wager_per_session,days_since_last_session
PLY00000001,Standard,30-39,Midwest,True,8,5,7,244,358,1063.82,84.0,30.5,132.98,6
PLY00000002,Silver,40-49,Southwest,False,6,5,6,151,218,635.76,50.05,25.17,105.96,270
PLY00000003,Standard,50-59,Midwest,True,4,3,4,118,149,354.91,30.79,29.5,88.73,6
PLY00000005,Silver,30-39,Southeast,False,4,3,4,45,64,353.92,40.95,11.25,88.48,242
PLY00000006,Silver,60+,West,True,4,3,4,208,347,1197.63,96.11,52.0,299.41,31
PLY00000007,Standard,30-39,Midwest,True,2,2,2,49,65,123.03,7.67,24.5,61.52,267
PLY00000008,Standard,40-49,Northeast,False,4,4,4,93,110,318.23,27.47,23.25,79.56,40
PLY00000009,Silver,30-39,Southwest,True,5,3,5,98,136,584.36,75.14,19.6,116.87,144
PLY00000011,Standard,50-59,Northeast,False,5,4,5,154,217,482.27,49.87,30.8,96.45,31
PLY00000012,Standard,21-29,Southeast,True,1,1,1,64,113,386.76,14.38,64.0,386.76,332
PLY00000013,Standard,30-39,Northeast,True,5,4,5,260,410,1985.51,207.47,52.0,397.1,2
PLY00000014,Silver,60+,Southeast,False,4,4,4,53,60,270.4,26.76,13.25,67.6,242
PLY00000015,Gold,40-49,West,False,5,5,5,136,217,833.0,85.51,27.2,166.6,25
PLY00000016,Silver,60+,Northeast,False,2,2,2,26,36,134.04,11.88,13.0,67.02,46
PLY00000017,Standard,21-29,Southeast,True,3,3,3,28,32,51.44,5.27,9.33,17.15,320
PLY00000018,Standard,50-59,Southwest,True,3,3,3,56,68,221.59,28.64,18.67,73.86,215
PLY00000019,Standard,40-49,Midwest,True,2,2,2,12,13,54.27,4.47,6.0,27.14,277
PLY00000020,Silver,40-49,West,True,2,1,2,30,44,330.62,29.3,15.0,165.31,178
PLY00000021,Standard,60+,Southeast,True,5,3,5,136,185,363.27,32.82,27.2,72.65,11
PLY00000022,Gold,21-29,Northeast,True,7,5,7,306,529,2333.81,243.99,43.71,333.4,230
PLY00000023,Silver,60+,Midwest,True,1,1,1,16,17,46.68,6.28,16.0,46.68,304
PLY00000024,Standard,50-59,Midwest,True,7,5,7,168,224,476.66,43.94,24.0,68.09,24
PLY00000025,Standard,21-29,Southwest,False,1,1,1,11,14,25.82,1.3,11.0,25.82,286
PLY00000026,Standard,30-39,West,True,6,5,6,166,239,704.38,55.12,27.67,117.4,23
PLY00000027,Silver,40-49,West,True,5,4,5,58,88,238.79,13.3,11.6,47.76,7
PLY00000028,Standard,50-59,Midwest,True,3,3,3,60,71,283.24,20.71,20.0,94.41,217
PLY00000029,Silver,50-59,Northeast,True,3,3,3,42,52,92.96,7.01,14.0,30.99,221
PLY00000030,Standard,21-29,Southeast,True,2,2,2,71,91,168.46,19.88,35.5,84.23,235
PLY00000031,Standard,50-59,West,True,3,2,3,24,22,57.08,1.27,8.0,19.03,227
PLY00000032,Standard,21-29,Southwest,False,2,2,2,33,49,78.68,8.31,16.5,39.34,311
PLY00000033,Standard,60+,Southwest,True,3,2,3,19,26,58.04,7.63,6.33,19.35,249
PLY00000034,Standard,50-59,Southwest,False,2,2,2,31,35,112.05,10.02,15.5,56.03,185
PLY00000035,Standard,40-49,Southwest,False,2,1,2,56,81,179.79,11.26,28.0,89.9,39
PLY00000036,Standard,60+,Southeast,True,1,1,1,7,7,10.77,0.82,7.0,10.77,360
PLY00000037,Standard,50-59,Northeast,True,2,2,2,74,89,248.13,36.27,37.0,124.07,358
PLY00000038,Standard,21-29,Southeast,True,5,5,5,195,216,467.0,35.99,39.0,93.4,35
PLY00000040,Standard,60+,Southeast,True,5,4,5,165,253,551.34,41.2,33.0,110.27,20
PLY00000041,Standard,30-39,Northeast,True,9,5,9,309,513,1523.1,126.1,34.33,169.23,1
PLY00000042,Standard,60+,Midwest,False,6,5,6,180,231,711.05,63.55,30.0,118.51,17
PLY00000043,Standard,60+,West,False,2,2,2,42,40,39.47,3.07,21.0,19.74,241
PLY00000044,Standard,60+,Southwest,True,1,1,1,16,17,18.93,2.39,16.0,18.93,260
PLY00000046,Standard,50-59,Southeast,False,1,1,1,6,6,11.65,1.06,6.0,11.65,318
PLY00000047,Standard,50-59,Southwest,True,9,5,9,326,535,1524.82,117.23,36.22,169.42,10
PLY00000048,Gold,30-39,Southwest,False,3,2,3,67,101,226.7,27.28,22.33,75.57,9
PLY00000049,Platinum,40-49,Northeast,False,2,2,2,36,65,210.3,17.81,18.0,105.15,284
PLY00000050,Standard,50-59,Northeast,False,3,2,3,123,174,970.38,61.48,41.0,323.46,2
PLY00000052,Standard,50-59,Northeast,False,2,2,2,12,16,15.13,2.3,6.0,7.57,270
PLY00000053,Gold,50-59,Midwest,True,9,5,9,446,775,4851.29,481.68,49.56,539.03,2
PLY00000054,Standard,60+,Northeast,True,1,1,1,27,32,183.46,19.64,27.0,183.46,291
PLY00000055,Silver,40-49,Southeast,False,2,2,2,92,100,156.85,9.07,46.0,78.43,179
PLY00000056,Standard,21-29,Southwest,True,5,4,5,143,227,1159.1,130.41,28.6,231.82,25
PLY00000057,Standard,40-49,Northeast,True,4,2,4,141,190,588.71,52.3,35.25,147.18,253
PLY00000058,Standard,60+,Southwest,True,4,4,4,54,72,186.58,18.06,13.5,46.65,254
PLY00000059,Standard,21-29,West,False,3,3,3,53,61,174.23,15.46,17.67,58.08,217
PLY00000060,Standard,60+,Southeast,True,5,4,4,185,236,867.13,64.24,37.0,173.43,45
PLY00000061,Standard,21-29,Southwest,False,1,1,1,8,7,7.16,0.38,8.0,7.16,345
PLY00000062,Standard,50-59,Midwest,False,3,2,3,34,38,60.9,6.51,11.33,20.3,324
PLY00000063,Platinum,40-49,Southwest,False,7,5,7,436,708,3387.84,317.6,62.29,483.98,33
PLY00000064,Standard,50-59,Northeast,True,3,3,3,57,86,488.79,31.52,19.0,162.93,128
PLY00000065,Silver,40-49,Northeast,False,7,5,7,283,459,1533.25,120.58,40.43,219.04,37
PLY00000066,Standard,60+,Northeast,False,4,4,4,46,48,59.77,6.99,11.5,14.94,205
PLY00000067,Gold,40-49,Southeast,True,8,5,6,221,342,1286.95,129.6,27.63,160.87,10
PLY00000068,Silver,60+,Midwest,True,8,7,8,235,348,770.83,76.66,29.38,96.35,192
PLY00000069,Silver,30-39,Northeast,False,4,2,4,118,172,259.82,20.01,29.5,64.96,224
PLY00000070,Standard,50-59,Northeast,True,5,5,5,116,183,799.42,55.77,23.2,159.88,21
PLY00000071,Standard,40-49,Midwest,False,3,2,3,86,128,319.41,28.99,28.67,106.47,182
PLY00000072,Standard,60+,Midwest,True,4,3,4,46,60,63.57,6.73,11.5,15.89,291
PLY00000073,Gold,40-49,Southwest,False,3,3,3,27,30,41.9,5.23,9.0,13.97,215
PLY00000074,Gold,21-29,Southwest,False,5,4,5,181,324,2234.7,184.43,36.2,446.94,40
