activity_date,location_id,location_name,region,location_type,activity_year,activity_month,activity_quarter,day_of_week_number,day_of_week_name,is_weekend,transaction_count,session_count,unique_player_count,active_machine_count,total_wager,total_payout,jackpot_amount,net_gaming_revenue,event_count,downtime_minutes,critical_event_count,revenue_lag_1_day,revenue_lag_7_days,revenue_lag_14_days,previous_7_day_average_revenue,previous_30_day_average_revenue,previous_7_day_average_sessions
2025-01-15,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,4,Wednesday,0,18,6,6,6,389.32,364.69,0.0,24.63,1,2,0,35.53,19.49,3.46,53.92,36.86,6.43
2025-01-15,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,4,Wednesday,0,10,4,4,3,221.32,198.73,0.0,22.59,4,32,0,61.14,9.36,15.27,30.35,23.55,5.0
2025-01-15,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,4,Wednesday,0,7,3,3,3,62.25,55.24,0.0,7.01,3,34,0,84.64,149.85,25.59,48.12,37.12,5.0
2025-01-15,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,4,Wednesday,0,41,11,11,7,2104.36,1918.89,0.0,185.47,5,126,0,24.54,82.99,9.72,70.26,54.29,8.43
2025-01-15,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,4,Wednesday,0,13,5,5,4,299.01,255.7,0.0,43.31,5,66,0,120.12,117.32,11.96,68.04,53.56,7.29
2025-01-15,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,4,Wednesday,0,13,7,7,6,381.65,347.26,0.0,34.39,0,0,0,6.69,106.69,2.49,41.07,28.17,4.29
2025-01-15,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,4,Wednesday,0,17,5,5,3,523.39,404.02,0.0,119.37,2,4,0,4.78,2.39,1.71,21.99,17.41,2.29
2025-01-16,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,5,Thursday,0,33,10,10,5,845.98,767.8,0.0,78.18,2,54,0,24.63,83.49,4.95,54.66,36.05,6.43
2025-01-16,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,5,Thursday,0,17,3,3,3,130.24,113.83,0.0,16.41,5,68,0,22.59,45.38,9.94,32.24,23.49,5.0
2025-01-16,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,5,Thursday,0,14,6,6,5,143.78,130.27,621.59,13.51,3,43,0,40.72,18.06,7.25,46.81,38.94,5.14
2025-01-16,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,5,Thursday,0,17,6,6,5,326.9,291.49,0.0,35.41,3,42,0,7.01,8.44,3.7,27.71,35.11,4.43
2025-01-16,LOC0006,Jasonview Gaming Center,Southwest,Casino,2025,1,1,5,Thursday,0,20,6,6,4,313.1,290.25,0.0,22.85,3,98,0,185.47,46.9,22.63,84.9,63.03,8.57
2025-01-16,LOC0007,Meganton Gaming Center,Northeast,Casino,2025,1,1,5,Thursday,0,58,13,13,12,1273.37,1159.76,0.0,113.61,2,86,0,43.31,21.42,17.05,57.47,52.88,6.57
2025-01-16,LOC0008,Lake Victor Gaming Center,Southeast,Bar,2025,1,1,5,Thursday,0,15,7,7,6,298.22,268.64,0.0,29.58,2,46,0,30.39,24.63,7.42,29.65,24.91,4.71
2025-01-16,LOC0009,Coxberg Gaming Center,West,Entertainment Center,2025,1,1,5,Thursday,0,12,5,5,3,168.78,151.33,0.0,17.45,0,0,0,34.39,45.68,8.49,30.74,28.58,4.29
2025-01-16,LOC0010,South Patrickmouth Gaming Center,Northeast,Entertainment Center,2025,1,1,5,Thursday,0,17,5,5,3,655.04,656.95,0.0,-1.91,1,42,0,119.37,11.56,19.77,38.71,24.21,2.86
2025-01-17,LOC0001,North Judithbury Gaming Center,Northeast,Casino,2025,1,1,6,Friday,0,48,10,10,6,2124.99,1947.45,0.0,177.54,3,18,0,78.18,9.21,31.15,53.9,38.68,6.71
2025-01-17,LOC0002,North Jefferyhaven Gaming Center,Midwest,Bar,2025,1,1,6,Friday,0,13,6,6,5,365.84,326.47,0.0,39.37,0,0,0,16.41,12.82,1.73,28.1,23.04,4.57
2025-01-17,LOC0003,Lake Roberto Gaming Center,Southeast,Bar,2025,1,1,6,Friday,0,10,2,2,2,265.66,237.87,0.0,27.79,5,162,0,13.51,115.54,28.76,46.16,37.24,5.14
2025-01-17,LOC0004,Lake Stephenville Gaming Center,Northeast,Entertainment Center,2025,1,1,6,Friday,0,45,10,10,5,1205.38,1120.91,0.0,84.47,3,20,0,35.41,37.12,42.76,31.56,35.13,5.0
