event_id,machine_id,location_id,event_timestamp,event_type,severity,downtime_minutes,software_version,error_code,event_date,requires_investigation,planned_event_flag
1,MCH000052,LOC0001,2025-01-01 01:19:50,Door Open,Low,0,v4.1,DR-271,2025-01-01,0,0
2,MCH000008,LOC0006,2025-01-01 04:01:31,Bill Acceptor Error,Medium,26,v4.1,BA-317,2025-01-01,0,0
3,MCH000092,LOC0010,2025-01-01 05:23:02,Door Open,Low,2,v5.0,DR-962,2025-01-01,0,0
4,MCH000093,LOC0006,2025-01-01 06:48:36,Software Upgrade,Low,18,v5.1,SU-132,2025-01-01,0,1
5,MCH000049,LOC0006,2025-01-01 08:10:10,Preventive Maintenance,Low,26,v5.1,PM-366,2025-01-01,0,1
6,MCH000002,LOC0001,2025-01-01 08:16:37,Cash Refill,Low,3,v4.2,CR-380,2025-01-01,0,1
7,MCH000095,LOC0009,2025-01-01 09:26:29,Cash Refill,Low,3,v5.0,CR-107,2025-01-01,0,1
8,MCH000002,LOC0001,2025-01-01 09:54:14,Preventive Maintenance,Low,22,v4.2,PM-984,2025-01-01,0,1
9,MCH000049,LOC0006,2025-01-01 13:35:08,Bill Acceptor Error,Medium,14,v5.1,BA-770,2025-01-01,0,0
10,MCH000049,LOC0006,2025-01-01 14:36:10,Bill Acceptor Error,Medium,14,v5.1,BA-646,2025-01-01,0,0
11,MCH000062,LOC0006,2025-01-01 15:22:21,Bill Acceptor Error,Medium,20,v5.0,BA-964,2025-01-01,0,0
12,MCH000098,LOC0006,2025-01-01 17:30:43,Software Upgrade,Low,15,v5.0,SU-180,2025-01-01,0,1
13,MCH000060,LOC0006,2025-01-01 19:07:09,Software Restart,Low,5,v4.2,SR-220,2025-01-01,0,0
14,MCH000020,LOC0003,2025-01-01 21:17:15,Bill Acceptor Error,Medium,25,v5.1,BA-273,2025-01-01,0,0
15,MCH000080,LOC0006,2025-01-01 21:36:54,Software Restart,Low,5,v4.2,SR-300,2025-01-01,0,0
16,MCH000045,LOC0009,2025-01-02 00:28:26,Hopper Empty,Medium,18,v5.0,HP-432,2025-01-02,0,0
17,MCH000039,LOC0009,2025-01-02 10:29:58,Software Restart,Low,8,v4.1,SR-729,2025-01-02,0,0
18,MCH000047,LOC0010,2025-01-02 10:40:18,Software Restart,Low,5,v5.0,SR-223,2025-01-02,0,0
19,MCH000038,LOC0001,2025-01-02 12:44:00,Communication Loss,Medium,19,v4.2,CM-877,2025-01-02,0,0
20,MCH000088,LOC0008,2025-01-02 13:03:48,Door Open,Low,0,v5.0,DR-108,2025-01-02,0,0
21,MCH000069,LOC0002,2025-01-02 14:59:09,Ticket Jam,Medium,13,v4.2,TJ-270,2025-01-02,0,0
22,MCH000096,LOC0004,2025-01-02 19:45:56,Hopper Empty,Medium,8,v5.1,HP-107,2025-01-02,0,0
23,MCH000079,LOC0007,2025-01-02 20:09:29,Hardware Failure,High,35,v5.1,HF-165,2025-01-02,1,0
