player_id,enrollment_date,loyalty_tier,age_band,home_region,marketing_opt_in,active_flag
PLY00000001,2023-05-29,Standard,30-39,Midwest,1,1
PLY00000002,2021-08-05,Silver,40-49,Southwest,0,1
PLY00000003,2022-02-19,Standard,50-59,Midwest,1,1
PLY00000004,2022-01-12,Silver,40-49,Northeast,0,0
PLY00000005,2023-06-25,Silver,30-39,Southeast,0,1
PLY00000006,2022-02-08,Silver,60+,West,1,1
PLY00000007,2021-10-19,Standard,30-39,Midwest,1,1
PLY00000008,2024-05-05,Standard,40-49,Northeast,0,1
PLY00000009,2022-02-19,Silver,30-39,Southwest,1,1
PLY00000010,2025-11-27,Standard,50-59,Southwest,1,0
PLY00000011,2023-07-23,Standard,50-59,Northeast,0,1
PLY00000012,2023-11-26,Standard,21-29,Southeast,1,1
PLY00000013,2025-08-30,Standard,30-39,Northeast,1,1
PLY00000014,2023-05-10,Silver,60+,Southeast,0,1
PLY00000015,2026-02-13,Gold,40-49,West,0,1
PLY00000016,2022-08-29,Silver,60+,Northeast,0,1
PLY00000017,2026-05-23,Standard,21-29,Southeast,1,1
PLY00000018,2026-06-08,Standard,50-59,Southwest,1,1
PLY00000019,2025-07-21,Standard,40-49,Midwest,1,1
PLY00000020,2023-08-07,Silver,40-49,West,1,1
PLY00000021,2025-07-22,Standard,60+,Southeast,1,1
PLY00000022,2024-12-29,Gold,21-29,Northeast,1,1
PLY00000023,2023-02-25,Silver,60+,Midwest,1,1
PLY00000024,2022-05-03,Standard,50-59,Midwest,1,1
PLY00000025,2022-05-11,Standard,21-29,Southwest,0,1
PLY00000026,2025-03-14,Standard,30-39,West,1,1
PLY00000027,2024-07-18,Silver,40-49,West,1,1
PLY00000028,2025-02-19,Standard,50-59,Midwest,1,1
PLY00000029,2025-01-11,Silver,50-59,Northeast,1,1
PLY00000030,2025-07-03,Standard,21-29,Southeast,1,1
PLY00000031,2021-12-29,Standard,50-59,West,1,1
PLY00000032,2022-05-15,Standard,21-29,Southwest,0,1
