player_id,loyalty_tier,days_since_last_session,total_historical_sessions,player_net_revenue,churn_probability,risk_level,recommended_action,expected_revenue_at_risk,retention_priority_score,priority_rank
PLY00002316,Silver,151,6,378.21,0.9978064101847336,Critical,Immediate retention outreach,377.38,533.5,1
PLY00004090,Platinum,156,6,279.37,0.9994322744835726,Critical,Immediate retention outreach,279.21,398.54,2
PLY00003761,Gold,106,6,318.3,0.964973542904454,Critical,Immediate retention outreach,307.15,396.35,3
PLY00000022,Gold,170,7,243.99,0.9970503809106152,Critical,Immediate retention outreach,243.27,356.57,4
PLY00000677,Gold,139,5,254.69,0.995120802243198,Critical,Immediate retention outreach,253.45,349.97,5
PLY00001364,Gold,81,10,291.51,0.9777694534706808,Critical,Immediate retention outreach,285.03,348.28,6
PLY00002050,Gold,183,7,230.03,0.9984432095801724,Critical,Immediate retention outreach,229.67,344.82,7
PLY00002363,Silver,101,8,255.86,0.9979622341585878,Critical,Immediate retention outreach,255.34,326.0,8
PLY00001688,Platinum,220,4,190.71,0.997309273254706,Critical,Immediate retention outreach,190.2,304.84,9
PLY00002559,Gold,24,12,383.89,0.7208426900844216,High,Targeted loyalty offer,276.72,294.92,10
PLY00003537,Platinum,125,7,219.0,0.9977186719008396,Critical,Immediate retention outreach,218.5,293.33,11
PLY00001327,Gold,152,6,205.67,0.9987036004474992,Critical,Immediate retention outreach,205.4,290.94,12
PLY00001053,Standard,169,6,198.63,0.9985923612685538,Critical,Immediate retention outreach,198.35,290.19,13
PLY00002945,Silver,156,9,202.81,0.9988044521747992,Critical,Immediate retention outreach,202.57,289.15,14
PLY00002007,Platinum,63,8,246.92,0.994957902675276,Critical,Immediate retention outreach,245.68,288.09,15
PLY00000663,Platinum,134,8,190.35,0.9969738126953612,Critical,Immediate retention outreach,189.77,259.44,16
PLY00001127,Gold,147,6,188.86,0.9666337294107664,Critical,Immediate retention outreach,182.56,256.08,17
PLY00004778,Gold,186,3,169.41,0.9947524179908124,Critical,Immediate retention outreach,168.52,254.4,18
PLY00003285,Gold,163,3,174.77,0.9963009984340936,Critical,Immediate retention outreach,174.12,251.88,19
PLY00003215,Platinum,68,7,217.99,0.9610642683453527,Critical,Immediate retention outreach,209.5,248.53,20
PLY00003268,Platinum,141,9,179.09,0.9993065906846972,Critical,Immediate retention outreach,178.97,248.11,21
PLY00002345,Gold,124,8,184.31,0.9977777635229004,Critical,Immediate retention outreach,183.9,246.38,22
PLY00001504,Gold,240,4,147.04,0.9989965187474324,Critical,Immediate retention outreach,146.89,243.48,23
PLY00001138,Gold,74,6,212.84,0.943730658512849,Critical,Immediate retention outreach,200.86,241.58,24
PLY00000818,Standard,181,3,163.31,0.9760277105877284,Critical,Immediate retention outreach,159.4,238.44,25
PLY00004405,Gold,211,4,151.23,0.9968889456997782,Critical,Immediate retention outreach,150.76,237.91,26
PLY00001815,Gold,147,8,167.32,0.9985478244103082,Critical,Immediate retention outreach,167.08,234.37,27
PLY00001880,Platinum,52,7,217.37,0.9380735891869948,Critical,Immediate retention outreach,203.91,232.96,28
PLY00003743,Gold,101,8,181.36,0.9981172477195442,Critical,Immediate retention outreach,181.02,231.11,29
PLY00003168,Silver,149,6,161.96,0.9866578445833056,Critical,Immediate retention outreach,159.8,225.03,30
PLY00002675,Platinum,148,5,160.47,0.997630727072944,Critical,Immediate retention outreach,160.09,225.0,31
PLY00001165,Platinum,146,6,160.51,0.9952026815887036,Critical,Immediate retention outreach,159.74,223.64,32
PLY00003684,Silver,174,5,150.42,0.9953366087044868,Critical,Immediate retention outreach,149.72,221.09,33
PLY00001879,Gold,127,6,165.47,0.9908280768939256,Critical,Immediate retention outreach,163.95,221.0,34
PLY00001557,Gold,214,4,138.82,0.9985608266065548,Critical,Immediate retention outreach,138.62,219.89,35
PLY00002297,Gold,131,7,161.57,0.9954105197590764,Critical,Immediate retention outreach,160.83,218.55,36
PLY00002328,Gold,238,3,129.99,0.9968953993705362,Critical,Immediate retention outreach,129.59,214.09,37
PLY00001773,Silver,138,7,154.11,0.9972854973673672,Critical,Immediate retention outreach,153.69,211.8,38
