feature,feature_importance
previous_30_day_average_revenue,0.18233810514764692
previous_7_day_average_revenue,0.13079372398594405
revenue_lag_1_day,0.10249337027105501
previous_7_day_average_sessions,0.09525073439010236
revenue_lag_14_days,0.08844606119147218
revenue_lag_7_days,0.08665431985680445
activity_month,0.06637420398811072
activity_quarter,0.04223848574312776
day_of_week_number,0.028774809376582524
location_type_Casino,0.019413372482414884
location_id_LOC0007,0.017000015472149507
location_type_Entertainment Center,0.016273302798169683
day_of_week_name_Friday,0.00883623885739598
is_weekend,0.00873063526052237
day_of_week_name_Tuesday,0.007247357277966543
region_Northeast,0.007241417900669625
location_id_LOC0005,0.007051424475555832
location_id_LOC0001,0.006325553784237989
day_of_week_name_Thursday,0.006211647360537189
day_of_week_name_Monday,0.006192113860247637
day_of_week_name_Wednesday,0.006187745780374835
day_of_week_name_Saturday,0.0057224427900436125
location_id_LOC0002,0.0054223603783399065
day_of_week_name_Sunday,0.005310884729912664
region_Midwest,0.005264825016945153
location_type_Bar,0.00509677152443023
region_Southeast,0.004889529553752776
region_Southwest,0.004866857996958665
location_id_LOC0006,0.0046404071652688655
location_id_LOC0004,0.0037815487340518484
location_id_LOC0010,0.003647976131810395
location_id_LOC0008,0.003356441735619869
location_id_LOC0003,0.002731207799441569
location_id_LOC0009,0.0026425406803824315
region_West,0.002551566501954001
activity_year,0.0
